Time, Temperature
s,°C
1,46.11111
2,46.11111
3,46.11111
4,46.11111
5,46.11111
6,46.11111
7,46.11111
8,46.11111
9,46.11111
10,46.11111
11,46.11111
12,46.11111
13,46.11111
14,46.11111
15,46.11111
16,46.11111
17,46.11111
18,46.11111
19,46.11111
20,46.11111
21,46.11111
22,46.11111
23,46.11111
24,46.11111
25,46.11111
26,46.11111
27,46.11111
28,46.11111
29,46.11111
30,46.11111
31,46.66667
32,46.11111
33,46.11111
34,46.11111
35,46.11111
36,46.11111
37,46.11111
38,46.11111
39,46.11111
40,46.11111
41,46.11111
42,46.11111
43,46.11111
44,46.11111
45,46.11111
46,46.11111
47,46.11111
48,46.11111
49,46.11111
50,46.11111
51,46.11111
52,46.11111
53,46.11111
54,46.11111
55,46.11111
56,46.11111
57,46.11111
58,46.11111
59,46.11111
60,46.11111
